20160313,59,43
20160314,50,33
20160315,52,30
20160316,53,28
20160317,53,32
20160318,48,30
20160319,68,34
20160320,70,38
20160321,65,55
20160322,58,33
20160323,45,32
20160324,43,33
20160325,46,35
20160326,42,35
20160327,39,34
20160328,39,35
20160329,42,35
20160330,47,37
20160331,53,36
20160401,56,35
20160402,62,35
20160403,64,39
20160404,69,43
20160405,62,33
20160406,70,36
20160407,76,41
20160408,72,45
20160409,64,49
20160410,62,46
20160411,69,42
20160412,72,45
20160413,66,49
20160414,59,36
20160415,48,33
20160416,53,35
20160417,56,38
20160418,62,37
20160419,63,35
20160420,65,37
20160421,67,38
20160422,69,41
20160423,69,43
20160424,61,41
20160425,56,43
20160426,48,39
20160427,57,40
20160428,54,42
20160429,64,48
20160430,60,39
20160501,69,41
20160502,71,45
20160503,73,42
20160504,75,49
20160505,78,56
20160506,67,51
20160507,56,45
20160508,53,46
20160509,69,47
20160510,71,48
20160511,70,46
20160512,73,40
20160513,80,47
20160514,83,51
20160515,72,52
20160516,62,47
20160517,67,48
20160518,69,50
20160519,72,49
20160520,74,51
20160521,69,45
20160522,59,42
20160523,63,43
20160524,65,46
20160525,67,45
20160526,66,46
20160527,69,46
20160528,72,47
20160529,76,50
20160530,74,53
20160531,73,52
20160601,83,53
20160602,90,55
20160603,88,57
20160604,89,57
20160605,91,60
20160606,90,59
20160607,88,58
20160608,86,61
20160609,84,59
20160610,81,59
20160611,74,57
20160612,73,54
20160613,75,55
20160614,74,54
20160615,77,56
20160616,76,56
20160617,78,57
20160618,82,61
20160619,86,62
20160620,89,63
20160621,90,66
20160622,91,68
20160623,91,67
20160624,87,59
20160625,88,58
20160626,90,54
20160627,94,58
20160628,96,61
20160629,92,66
20160630,92,61
20160701,92,61
20160702,81,50
20160703,89,65
20160704,92,67
20160705,91,68
20160706,87,63
20160707,89,62
20160708,94,64
20160709,92,65
20160710,87,69
20160711,91,67
20160712,92,63
20160713,95,61
20160714,94,58
20160715,93,63
20160716,95,61
20160717,94,61
20160718,94,59
20160719,95,60
20160720,93,68
20160721,95,70
20160722,94,69
